/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:3.9 CYCLES:225 ICOUNT:58 IHITRATE: 97.3 DHITRATE: 72.7
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.3 CYCLES:2401 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.3 CYCLES:2335 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.2 CYCLES:2262 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.2 CYCLES:2317 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.3 CYCLES:2389 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.3 CYCLES:2401 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.3 CYCLES:2395 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.3 CYCLES:2431 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.3 CYCLES:2341 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.3 CYCLES:2329 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:2.3 CYCLES:2401 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:2.3 CYCLES:2335 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:2.2 CYCLES:2262 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:2.2 CYCLES:2317 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:2.3 CYCLES:2389 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:2.3 CYCLES:2401 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:2.3 CYCLES:2395 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:2.3 CYCLES:2431 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:2.3 CYCLES:2341 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:2.3 CYCLES:2329 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:2.8 CYCLES:282 ICOUNT:102 IHITRATE: 97.5 DHITRATE: 86.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:10.3 CYCLES:31 ICOUNT:3 IHITRATE: 78.6 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:3.6 CYCLES:36 ICOUNT:10 IHITRATE: 69.2 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:6.1 CYCLES:43 ICOUNT:7 IHITRATE: 66.7 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:3.7 CYCLES:33 ICOUNT:9 IHITRATE: 72.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:6.1 CYCLES:43 ICOUNT:7 IHITRATE: 66.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:3.5 CYCLES:35 ICOUNT:10 IHITRATE: 69.2 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:6.1 CYCLES:43 ICOUNT:7 IHITRATE: 66.7 DHITRATE: 75.0
